City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
118,santo antonio do ica,-3.1022,-67.9397,73.184,99,100,0.78,BR,1716786357
119,dudinka,69.4058,86.1778,28.670000000000062,76,43,8.05,RU,1716786389
120,mugia,43.1041,-9.2179,46.90400000000005,80,95,4.73,ES,1716786389
121,quellon,-43.1167,-73.6167,45.14000000000002,91,97,3.4,CL,1716786092
122,yakeshi,49.2833,120.7333,71.52800000000006,23,32,6.4,CN,1716786249
123,coracora,-15.0333,-73.7833,48.541999999999994,35,0,2.87,PE,1716786390
124,ixtapa,20.7,-105.2,78.0260000000001,83,0,0.0,MX,1716786390
125,cabo san lucas,22.8909,-109.9124,81.69800000000002,52,4,5.44,MX,1716786390
126,santiago de cao,-7.9589,-79.2392,60.92600000000009,94,40,3.6,PE,1716786390
127,saba,15.4667,-86.25,81.24800000000002,70,3,1.58,HN,1716786391
128,fort bragg,35.139,-79.006,69.94400000000007,92,100,2.57,US,1716786391
129,kingston,17.997,-76.7936,85.15400000000005,66,20,4.63,JM,1716786370
130,dragash,42.0625,20.6533,54.5,86,100,0.73,XK,1716786391
131,ust'-barguzin,53.45,108.9833,58.658,41,6,2.17,RU,1716786391
132,bengkulu,-3.8004,102.2655,88.21400000000003,65,35,3.3,ID,1716786391
133,saint-joseph,-21.3667,55.6167,77.108,86,43,4.47,RE,1716786250
134,khorixas,-20.3667,14.9667,64.184,31,1,5.73,NA,1716786392
135,san sebastian de la gomera,28.0916,-17.1133,70.37600000000009,82,40,3.6,ES,1716786392
136,vadso,70.0744,29.7487,47.28200000000002,87,75,3.09,NO,1716786392
137,punta del este,-34.9667,-54.95,50.88200000000002,93,75,2.68,UY,1716786106
138,christchurch,-43.5333,172.6333,51.998000000000026,54,11,1.03,NZ,1716786392
139,hilo,19.7297,-155.09,74.93000000000004,86,20,0.89,US,1716786392
140,qalat,32.1058,66.9083,85.83800000000005,12,0,9.75,AF,1716786393
141,montpelier,44.2601,-72.5754,67.11800000000008,62,20,5.66,US,1716786253
142,vilyuchinsk,52.9306,158.4028,43.070000000000064,94,99,3.25,RU,1716786393
143,ilam,26.9167,87.9167,74.96600000000001,90,100,1.13,NP,1716786393
144,zaozersk,69.4005,32.4476,47.498000000000026,82,97,7.04,RU,1716786393
145,longyearbyen,78.2186,15.6401,28.238000000000046,59,20,5.14,SJ,1716786393
146,novomyrhorod,48.7811,31.642,61.34000000000002,71,94,5.76,UA,1716786394
147,zhenlai,45.8495,123.2973,70.592,38,56,1.92,CN,1716786394
148,petropavlovsk-kamchatsky,53.0452,158.6483,41.59400000000007,75,75,7.0,RU,1716786394
149,port augusta,-32.5,137.7667,75.03800000000004,24,0,1.53,AU,1716786157
150,aral,40.5156,81.2636,76.87400000000001,10,38,4.21,CN,1716786394
151,college,64.8569,-147.8028,59.32400000000001,64,75,1.54,US,1716786394
152,puerto leguizamo,-0.1934,-74.7819,73.058,99,100,0.55,CO,1716786395
153,tianpeng,30.9866,103.9393,81.06800000000008,37,90,3.39,CN,1716786244
154,anadyr,64.75,177.4833,45.104000000000056,65,0,3.0,RU,1716786268
155,flying fish cove,-10.4217,105.6791,83.87600000000009,78,75,5.66,CX,1716786395
156,vic,41.9301,2.2549,64.00400000000005,94,100,1.36,ES,1716786398
157,grand falls-windsor,48.9332,-55.6649,31.51400000000003,90,66,1.05,CA,1716786117
158,port mathurin,-19.6833,63.4167,77.99000000000002,87,15,6.56,MU,1716786398
159,nova vicosa,-17.8919,-39.3719,74.49800000000002,82,3,2.41,BR,1716786291
160,vorgashor,67.5833,63.95,28.79600000000005,96,99,6.92,RU,1716786399
161,avarua,-21.2078,-159.775,78.85400000000006,94,40,1.03,CK,1716786399
162,katsuren-haebaru,26.3369,127.8719,86.37800000000007,74,75,7.2,JP,1716786399
163,egilsstadir,65.2653,-14.3948,39.110000000000085,93,0,2.06,IS,1716786399
164,yavuzeli,37.3177,37.5682,72.96800000000009,57,29,1.44,TR,1716786399
165,xinyu,27.8043,114.9334,83.984,70,94,2.02,CN,1716786399
166,wailua homesteads,22.0669,-159.378,79.23200000000001,83,100,4.63,US,1716786399
167,mahdia,35.5047,11.0622,64.34600000000005,60,93,1.62,TN,1716786400
168,anupgarh,29.1911,73.2086,110.066,9,0,2.37,IN,1716786273
169,dazhong,33.1997,120.4578,72.32000000000006,45,100,4.56,CN,1716786400
170,gebeit,21.0667,36.3167,80.99600000000005,13,0,4.02,SD,1716786400
171,novi pazar,43.1367,20.5122,56.08399999999999,87,46,0.74,RS,1716786400
172,dunedin,-45.8742,170.5036,46.79600000000005,75,100,2.68,NZ,1716786400
173,puerto baquerizo moreno,-0.9,-89.6,72.77000000000007,87,84,4.32,EC,1716786400
174,camana,-16.6228,-72.7111,62.06000000000008,86,46,3.92,PE,1716786401
175,arkhara,49.4212,130.0842,60.76400000000003,46,100,3.13,RU,1716786401
176,margaret river,-33.95,115.0667,62.852000000000075,65,100,3.05,AU,1716786401
177,machico,32.7,-16.7667,65.71400000000003,71,40,4.12,PT,1716786401
178,korla,41.7597,86.1469,69.40400000000005,30,100,11.08,CN,1716786230
179,bembereke,10.2283,2.6634,74.15600000000003,85,100,2.86,BJ,1716786402
180,tofol,5.3248,163.0078,83.984,84,75,1.54,FM,1716786402
181,port lincoln,-34.7333,135.8667,67.24400000000007,47,0,2.71,AU,1716786402
182,papao,-17.75,-149.55,80.2760000000001,75,52,10.71,PF,1716786402
183,guerrero negro,27.9769,-114.0611,59.66600000000001,82,2,6.9,MX,1716786402
184,port-gentil,-0.7193,8.7815,79.61000000000008,78,99,1.97,GA,1716786402
185,kavarna,43.4333,28.3333,59.57600000000009,71,40,8.23,BG,1716786402
186,udachny,66.4167,112.4,50.45,47,56,4.17,RU,1716786403
